Country,Year,TRD,EXP,IMP,DCPS,GDPC,FDIN,FDOF,POP,AGFF,MANF,PSAV,GOVE,GDPG,FDI,FIAI,FIDI,FIEI,FII,FMAI,FMDI,FMEI,FMI
Argentina,1980,11.55,5.06,6.48,25.4,..,..,..,28024803,6.35,29.48,..,..,1.52,0.23,0.08,0.11,0.63,0.25,0.24,0.02,0.35,0.19
Argentina,1981,14.29,6.92,7.37,33.55,..,..,..,28471285,6.48,28.77,..,..,-5.19,0.23,0.1,0.15,0.75,0.31,0.26,0.01,0.16,0.14
Argentina,1982,15.61,9.09,6.52,33.91,..,..,..,28922762,9.6,31.36,..,..,-0.74,0.27,0.11,0.16,0.77,0.33,0.31,0.01,0.31,0.2
Argentina,1983,14.99,9.15,5.84,28.12,3727.05,0.17,0,29377137,8.66,30.67,..,..,4.35,0.22,0.09,0.14,0.69,0.29,0.28,0.01,0.16,0.14
Argentina,1984,12.35,7.59,4.76,25,3787.47,0.24,0.04,29832197,8.35,29.71,..,..,1.57,0.23,0.08,0.12,0.64,0.26,0.32,0.01,0.27,0.19
Argentina,1985,18.01,11.74,6.27,17.36,2919.28,1.04,0.05,30287112,7.63,29.64,..,..,-5.19,0.2,0.06,0.09,0.39,0.17,0.42,0.01,0.29,0.23
Argentina,1986,14.49,8.16,6.32,16.91,3454.3,0.54,0.01,30748326,7.8,27.42,..,..,6.15,0.18,0.06,0.09,0.38,0.17,0.37,0.01,0.19,0.18
Argentina,1987,15.45,7.87,7.58,21.3,3492.69,-0.02,0.04,31216453,8.09,27.5,..,..,2.7,0.19,0.07,0.11,0.47,0.21,0.36,0.01,0.13,0.16
Argentina,1988,15.74,9.53,6.21,20.34,4005.2,0.9,-0.02,31690792,8.98,28,..,..,-1.09,0.32,0.07,0.1,0.45,0.2,0.33,0.02,1,0.43
Argentina,1989,19.64,13.06,6.58,39.72,2382.34,1.34,0.08,32165766,9.62,30.95,..,..,-7.16,0.2,0.09,0.2,0.38,0.23,0.32,0.01,0.15,0.16
Argentina,1990,14.99,10.36,4.63,15.6,4330.97,1.3,0.02,32637657,8.12,26.79,..,..,-2.47,0.2,0.09,0.16,0.34,0.2,0.36,0.01,0.27,0.2
Argentina,1991,13.75,7.68,6.08,12.59,5730.72,1.29,0.03,33105763,6.72,24.39,..,..,9.13,0.22,0.09,0.1,0.38,0.19,0.41,0.03,0.3,0.24
Argentina,1992,14.73,6.6,8.13,15.45,6815.33,1.94,0.51,33568285,5.99,21.86,..,..,7.94,0.34,0.1,0.11,0.39,0.2,0.45,0.05,1,0.48
Argentina,1993,16.22,6.91,9.31,18.28,6957.42,1.18,0.3,34027240,5.14,18.24,..,..,8.21,0.37,0.11,0.12,0.36,0.19,0.5,0.16,1,0.53
Argentina,1994,18.13,7.53,10.6,20.28,7464.47,1.41,0.39,34488696,5.08,17.82,..,..,5.84,0.39,0.13,0.12,0.36,0.21,0.5,0.24,1,0.57
Argentina,1995,19.77,9.68,10.09,19.96,7383.7,2.17,0.58,34946110,5.35,17.25,..,..,-2.85,0.37,0.14,0.13,0.38,0.22,0.49,0.12,1,0.52
Argentina,1996,21.51,10.43,11.08,20.19,7690.16,2.55,0.59,35389362,5.61,17.54,51.06,60.11,5.53,0.38,0.14,0.11,0.51,0.25,0.54,0.13,0.86,0.49
Argentina,1997,23.34,10.56,12.78,21.93,8176.77,3.13,1.25,35815971,5.22,18.23,..,..,8.11,0.38,0.16,0.13,0.52,0.26,0.56,0.16,0.8,0.49
Argentina,1998,23.35,10.42,12.93,24.15,8250.67,2.44,0.78,36233195,5.25,17.84,39.36,63.93,3.85,0.37,0.16,0.14,0.51,0.27,0.55,0.14,0.71,0.45
Argentina,1999,21.38,9.83,11.56,24.89,7735.32,8.46,0.61,36653031,4.46,16.96,..,..,-3.39,0.3,0.18,0.16,0.51,0.28,0.52,0.14,0.26,0.3
Argentina,2000,22.62,10.99,11.64,23.89,7666.52,3.67,0.32,37070774,4.68,16.49,50.26,54.64,-0.79,0.3,0.19,0.17,0.54,0.3,0.5,0.13,0.25,0.28
Argentina,2001,21.85,11.58,10.27,20.83,7168.98,0.81,0.06,37480493,4.57,16.09,..,..,-4.41,0.27,0.2,0.17,0.3,0.24,0.51,0.11,0.25,0.28
Argentina,2002,41.75,28.38,13.37,15.33,2579.49,2.2,-0.64,37885028,10.21,20.35,22.75,48.11,-10.89,0.29,0.19,0.2,0.53,0.31,0.5,0.17,0.09,0.25
Argentina,2003,40.64,25.93,14.71,10.76,3333.15,1.29,0.61,38278164,10.33,22.49,35.18,55.14,8.84,0.28,0.18,0.16,0.55,0.3,0.51,0.16,0.1,0.26
Argentina,2004,40.69,23.85,16.85,9.68,4258.16,2.51,0.41,38668796,8.36,18.94,26.21,57.21,9.03,0.29,0.17,0.15,0.48,0.27,0.65,0.14,0.14,0.3
